aX,aY,aZ,gX,gY,gZ
0.076,0.941,0.193,-0.427,3.845,6.409
0.066,0.844,0.260,7.080,1.404,3.479
0.049,0.820,0.302,15.564,0.427,0.488
0.060,0.858,0.308,13.550,0.732,-0.366
0.070,0.929,0.288,5.066,1.038,-1.160
0.071,0.982,0.252,-3.662,0.671,-1.099
0.059,0.965,0.259,-3.845,1.282,0.549
0.046,0.911,0.279,3.906,1.892,1.892
0.043,0.886,0.289,7.080,3.479,2.197
0.053,0.892,0.285,0.671,3.174,0.244
0.067,0.883,0.282,-4.211,2.808,-1.465
0.060,0.908,0.263,-3.052,2.625,-0.549
0.059,0.956,0.244,-1.953,4.089,1.709
0.059,0.949,0.227,-1.160,4.028,1.587
0.058,0.918,0.241,1.282,4.333,0.671
0.064,0.886,0.267,6.897,4.761,0.122
0.069,0.872,0.277,7.874,3.906,0.183
0.075,0.890,0.280,3.235,2.930,0.122
0.070,0.910,0.269,0.671,2.686,-0.671
0.058,0.927,0.271,0.122,2.197,-0.183
0.060,0.928,0.273,0.854,2.258,-0.122
0.059,0.919,0.279,2.686,1.953,-0.183
0.046,0.914,0.281,3.601,2.258,0.122
0.051,0.918,0.280,0.793,1.770,-0.061
0.053,0.918,0.283,-2.258,1.404,-0.610
0.049,0.920,0.285,-0.916,1.465,-1.282
0.055,0.913,0.294,0.854,1.587,-1.404
0.060,0.899,0.289,1.831,2.136,-1.587
0.061,0.907,0.286,1.709,2.014,-1.526
0.057,0.914,0.291,0.916,1.404,-0.916
0.056,0.923,0.302,0.244,0.793,-0.854
0.047,0.942,0.287,-0.061,0.671,-0.916
0.044,0.953,0.262,-0.427,0.854,-1.282
0.048,0.936,0.257,-0.916,0.732,-1.343
0.047,0.931,0.263,-1.404,1.160,-0.305
0.046,0.934,0.252,-3.052,2.075,0.061
0.052,0.916,0.260,-3.723,1.892,-1.404
0.057,0.903,0.282,0.732,2.136,-1.770
0.066,0.917,0.297,2.380,1.099,-1.770
0.070,0.921,0.312,1.953,-0.854,-2.258
0.057,0.918,0.322,1.160,-1.953,-2.441
0.048,0.924,0.313,1.343,-2.502,-2.747
0.046,0.919,0.311,2.563,-1.770,-2.502
0.049,0.913,0.302,2.930,-0.366,-2.136
0.054,0.927,0.292,0.610,0.671,-2.075
0.056,0.935,0.271,-2.136,1.648,-2.258
0.078,0.964,0.332,-36.255,3.052,0.061
0.107,0.925,0.253,-52.429,1.221,-0.427
0.107,0.880,0.233,-69.336,1.526,0.854
0.133,0.848,0.249,-79.163,3.723,0.610
0.176,0.792,0.355,-63.904,4.211,0.488
0.175,0.780,0.334,-49.561,-0.793,3.113
0.146,0.826,0.350,-49.805,-5.127,4.333
0.096,0.857,0.388,-39.063,-9.949,3.845
0.036,0.892,0.372,-24.231,-15.442,5.920
-0.043,0.935,0.254,-23.315,-15.747,11.230
-0.076,0.927,0.274,-42.114,-9.827,9.827
-0.024,0.874,0.411,-34.668,-7.202,4.822
-0.021,0.955,0.418,-9.705,-13.306,7.446
-0.078,1.109,0.251,-3.479,-11.169,12.329
-0.095,1.173,0.088,-6.042,-1.953,13.550
-0.031,1.117,0.085,-1.038,2.747,12.085
0.051,0.978,0.231,12.085,0.610,9.949
0.098,0.871,0.326,22.217,-4.456,7.935
0.094,0.843,0.340,16.907,-9.949,4.578
0.056,0.864,0.340,4.639,-11.353,2.075
0.018,0.898,0.304,-3.357,-9.766,1.282
0.023,0.896,0.280,-6.409,-6.531,1.221
0.040,0.882,0.322,-2.625,-4.028,1.282
0.055,0.888,0.300,0.916,-2.747,1.770
0.060,0.908,0.284,1.526,-0.244,1.221
0.058,0.933,0.260,0.305,1.648,1.221
0.045,0.957,0.235,-0.488,1.770,2.197
0.031,0.975,0.203,-0.793,2.380,2.319
0.039,0.930,0.213,-1.465,1.343,-0.610
0.051,0.883,0.251,5.188,0.610,-2.441
0.068,0.887,0.253,6.714,0.671,-1.648
0.067,0.899,0.250,4.578,1.038,-1.099
0.055,0.907,0.248,2.930,1.587,-0.549
0.044,0.913,0.252,1.282,2.136,-0.061
0.041,0.919,0.241,1.831,2.930,-0.366
0.044,0.906,0.251,2.136,3.479,-0.793
0.051,0.891,0.267,3.662,3.296,-1.099
0.056,0.907,0.271,4.456,2.319,-0.916
0.055,0.916,0.277,3.357,0.732,-0.854
0.042,0.921,0.262,1.770,-0.610,-1.160
0.032,0.924,0.259,-1.831,0.122,-1.221
0.034,0.907,0.259,-1.587,0.732,-2.441
0.040,0.904,0.277,0.793,1.099,-2.258
0.047,0.924,0.281,0.549,1.831,-2.258
0.054,0.927,0.274,-0.183,1.648,-2.869
0.048,0.918,0.271,1.160,1.404,-2.869
0.038,0.921,0.275,2.014,1.282,-2.380
0.044,0.928,0.266,-0.610,1.038,-2.625
0.050,0.927,0.277,0.122,1.282,-2.747
0.050,0.923,0.276,2.686,1.831,-1.953
0.048,0.937,0.278,2.136,1.160,-1.526
0.046,0.939,0.284,0.366,0.732,-1.892
0.039,0.934,0.267,-0.305,0.183,-1.770
0.032,0.947,0.256,-2.747,0.732,-1.099
0.040,0.944,0.256,-5.554,1.892,-1.465
0.041,0.918,0.262,-3.723,2.014,-1.831
0.043,0.919,0.271,0.000,1.953,-1.160
0.048,0.924,0.275,0.854,1.282,-0.854
0.048,0.923,0.299,1.099,0.427,-1.221
0.045,0.940,0.282,-0.854,-0.610,-1.587
0.045,0.937,0.274,-5.371,-0.793,-1.892
0.042,0.930,0.286,-2.380,0.122,-1.343
0.048,0.926,0.290,1.099,0.916,-0.061
0.057,0.909,0.289,1.587,1.099,0.305
0.088,0.965,0.336,-26.306,-6.042,0.732
0.085,0.927,0.377,-35.095,-4.456,0.671
0.120,0.921,0.249,-53.833,-4.761,1.221
0.154,0.860,0.225,-74.524,-3.662,3.723
0.142,0.802,0.354,-74.951,-2.502,3.967
0.121,0.827,0.319,-64.636,-3.479,3.662
0.105,0.864,0.298,-60.120,-4.517,6.226
0.065,0.910,0.328,-46.936,-5.371,9.094
0.025,0.973,0.330,-32.715,-7.568,10.742
0.007,0.954,0.299,-20.386,-9.521,12.634
-0.032,0.866,0.325,-8.667,-13.000,13.611
-0.061,0.874,0.365,-1.160,-13.062,11.047
-0.025,0.874,0.373,-9.766,-15.991,8.179
-0.047,0.873,0.356,-7.812,-18.677,9.949
-0.104,1.040,0.240,-9.949,-12.817,12.268
-0.054,1.146,0.138,-29.541,-5.676,9.399
0.062,1.033,0.232,-22.583,-0.916,5.432
0.121,0.935,0.318,7.568,-2.747,5.066
0.088,0.918,0.333,22.888,-4.944,5.676
0.044,0.877,0.325,17.639,-4.211,1.465
0.020,0.847,0.329,11.902,-3.784,-2.441
0.019,0.869,0.328,12.390,-1.221,-1.465
0.034,0.905,0.302,14.038,2.686,0.366
0.057,0.906,0.306,11.108,4.517,0.854
0.057,0.911,0.269,6.958,2.747,0.671
0.049,0.934,0.270,1.892,-0.122,-0.671
0.043,0.967,0.265,0.732,0.244,-0.061
0.051,0.981,0.226,-0.671,0.061,1.160
0.052,0.928,0.214,1.404,0.244,1.709
0.039,0.877,0.224,5.554,1.404,1.709
0.038,0.879,0.232,5.920,1.953,1.282
0.051,0.896,0.254,2.319,2.197,0.793
0.057,0.913,0.263,0.488,2.014,-0.610
0.049,0.931,0.248,1.648,2.686,-1.099
