aX,aY,aZ,gX,gY,gZ
0.053,0.953,0.358,-3.662,-0.916,-0.122
0.061,0.930,0.371,0.610,-2.502,1.343
0.068,0.867,0.382,3.723,-4.211,1.709
0.053,0.856,0.371,3.418,-4.150,1.221
0.043,0.889,0.349,0.122,-2.380,0.732
0.054,0.904,0.350,-1.038,-1.038,1.404
0.070,0.884,0.343,0.977,-0.610,1.831
0.073,0.867,0.339,2.502,-0.305,1.892
0.074,0.883,0.366,2.808,-0.366,2.075
0.084,0.871,0.383,2.869,-1.709,1.953
0.089,0.838,0.378,3.479,-3.418,1.892
0.077,0.862,0.376,0.610,-3.784,1.404
0.064,0.906,0.383,-2.686,-3.418,1.282
0.066,0.906,0.375,-1.526,-3.357,0.549
0.069,0.875,0.375,1.831,-3.174,0.488
0.064,0.851,0.370,2.747,-2.136,0.793
0.066,0.866,0.364,1.038,-0.732,0.488
0.072,0.889,0.370,-0.122,0.305,0.061
0.079,0.883,0.368,1.526,0.122,-0.061
0.077,0.864,0.357,3.235,-0.305,-0.061
0.074,0.874,0.368,1.648,0.183,-0.427
0.083,0.875,0.365,-0.427,0.000,-0.793
0.081,0.875,0.370,-0.305,-0.366,-0.854
0.073,0.875,0.363,-0.122,-0.305,-0.854
0.068,0.875,0.369,-0.061,-0.366,-0.854
0.073,0.880,0.379,-0.427,-0.366,-1.221
0.076,0.881,0.368,-0.183,-0.916,-1.221
0.068,0.883,0.376,0.122,-0.977,-0.977
0.062,0.886,0.379,0.122,-1.038,-1.282
0.068,0.886,0.383,0.061,-0.732,-1.648
0.063,0.879,0.375,-0.061,-0.305,-1.526
0.058,0.876,0.370,-0.732,0.366,-1.709
0.059,0.885,0.373,-1.831,1.038,-1.648
0.065,0.891,0.382,-2.197,0.977,-1.587
0.066,0.894,0.379,-1.221,0.488,-1.587
0.062,0.888,0.381,-0.427,0.244,-1.160
0.059,0.880,0.388,-0.122,-0.061,-1.099
0.060,0.872,0.385,-0.793,-0.366,-1.160
