aX,aY,aZ,gX,gY,gZ
0.607,-0.652,0.542,-37.476,-22.766,5.615
0.581,-0.658,0.559,-33.691,-29.175,3.906
0.561,-0.673,0.556,-29.602,-29.358,3.906
0.555,-0.659,0.546,-25.696,-23.926,5.615
0.556,-0.653,0.545,-24.109,-16.785,7.568
0.561,-0.663,0.527,-23.621,-9.399,8.545
0.576,-0.636,0.492,-25.330,-3.113,9.644
0.595,-0.623,0.503,-29.663,0.000,10.437
0.608,-0.613,0.533,-33.142,-1.038,9.399
0.617,-0.608,0.550,-33.997,-6.348,7.080
0.605,-0.626,0.568,-33.386,-15.137,4.089
0.591,-0.633,0.579,-31.921,-24.475,1.953
0.557,-0.643,0.606,-28.198,-29.724,0.916
0.543,-0.648,0.552,-22.339,-28.198,2.258
0.540,-0.644,0.571,-21.118,-27.039,4.822
0.532,-0.630,0.540,-16.785,-20.874,6.836
0.545,-0.631,0.512,-14.282,-14.099,8.362
0.577,-0.587,0.501,-17.822,-8.545,9.338
0.610,-0.567,0.578,-26.245,-6.226,7.935
0.626,-0.581,0.646,-31.189,-7.507,3.662
0.633,-0.592,0.695,-30.701,-13.550,0.122
0.622,-0.603,0.758,-27.893,-23.193,-1.770
0.610,-0.613,0.796,-23.132,-30.884,-2.686
0.597,-0.624,0.797,-15.808,-34.119,-2.197
0.579,-0.621,0.782,-9.705,-32.654,-0.549
0.558,-0.628,0.758,-4.944,-26.123,0.793
0.542,-0.637,0.717,-0.793,-17.212,2.197
0.541,-0.635,0.676,0.732,-9.094,4.517
0.551,-0.624,0.640,-0.366,-3.052,5.737
0.557,-0.622,0.617,-3.601,0.671,5.188
0.560,-0.619,0.625,-7.446,1.099,3.540
0.760,-0.550,1.352,84.717,20.020,-18.860
0.750,-0.578,1.450,97.046,20.752,-23.193
0.732,-0.550,1.571,109.863,17.578,-26.428
0.670,-0.548,1.610,128.784,14.282,-26.428
0.646,-0.554,1.528,152.161,13.550,-25.818
0.628,-0.485,1.442,172.852,12.390,-21.973
0.552,-0.438,1.276,191.589,13.367,-19.165
0.421,-0.461,0.932,210.876,26.550,-19.287
0.320,-0.457,0.528,226.257,54.871,-12.756
0.203,-0.446,0.093,234.192,90.149,-5.798
0.084,-0.488,-0.443,236.938,124.756,-3.723
0.031,-0.514,-0.967,234.375,146.606,0.488
0.043,-0.492,-1.354,225.220,142.517,6.897
0.087,-0.484,-1.621,210.999,114.563,8.362
0.112,-0.447,-1.774,190.674,73.730,5.066
0.154,-0.441,-1.796,166.870,31.921,-0.793
0.189,-0.471,-1.672,143.250,-1.221,-4.272
0.244,-0.514,-1.451,119.751,-19.409,-4.883
0.310,-0.547,-1.206,96.069,-21.973,-2.258
0.395,-0.594,-0.972,74.341,-11.414,2.197
0.469,-0.646,-0.755,51.453,4.395,5.554
0.541,-0.689,-0.550,30.823,19.897,7.690
0.576,-0.726,-0.392,15.259,30.701,7.812
0.607,-0.785,-0.278,3.052,34.546,5.432
0.621,-0.826,-0.196,-5.188,31.677,3.174
0.608,-0.851,-0.150,-9.949,24.231,0.610
0.536,-0.861,-0.169,-13.367,14.771,-3.479
0.478,-0.914,-0.201,-17.578,7.385,-6.409
0.415,-0.906,-0.231,-23.804,3.601,-5.371
0.361,-0.887,-0.272,-30.334,3.784,-3.601
0.339,-0.881,-0.328,-35.706,7.019,-0.916
0.366,-0.872,-0.332,-40.894,10.681,2.930
0.398,-0.838,-0.290,-45.288,11.719,7.080
0.418,-0.820,-0.237,-47.241,10.498,9.766
0.453,-0.811,-0.194,-44.861,8.484,11.780
0.506,-0.801,-0.162,-39.795,5.371,13.367
0.540,-0.775,-0.149,-33.142,0.977,13.367
0.550,-0.783,-0.169,-27.649,-3.418,11.230
0.544,-0.791,-0.204,-24.109,-7.629,10.498
0.550,-0.768,-0.230,-23.010,-12.268,10.986
0.561,-0.758,-0.241,-23.804,-16.541,10.620
0.582,-0.754,-0.250,-25.757,-20.203,8.972
0.589,-0.760,-0.228,-30.823,-24.109,8.240
0.603,-0.756,-0.115,-36.804,-28.259,6.653
0.602,-0.756,-0.023,-36.987,-26.367,6.592
0.621,-0.783,0.031,-37.170,-21.545,5.981
0.656,-0.802,0.090,-37.720,-16.113,6.531
0.677,-0.802,0.153,-36.682,-13.916,8.301
0.678,-0.820,0.175,-34.729,-12.329,7.629
0.661,-0.833,0.160,-33.325,-10.437,6.165
0.653,-0.841,0.138,-32.898,-9.888,5.310
0.657,-0.841,0.119,-33.508,-11.169,4.089
0.651,-0.845,0.093,-35.583,-13.550,1.160
0.648,-0.850,0.093,-38.269,-17.639,-2.319
0.635,-0.843,0.125,-40.100,-21.973,-5.066
0.620,-0.849,0.207,-39.368,-25.635,-7.141
0.604,-0.850,0.255,-36.377,-25.330,-8.545
0.597,-0.866,0.273,-31.738,-21.545,-7.446
0.599,-0.857,0.271,-27.588,-15.991,-4.578
0.594,-0.860,0.261,-24.963,-10.437,-3.052
0.591,-0.861,0.231,-23.437,-5.432,-2.319
0.584,-0.848,0.200,-23.010,-1.648,-1.526
0.572,-0.845,0.162,-22.583,0.916,-1.526
0.568,-0.845,0.111,-22.400,2.747,-2.014
0.563,-0.833,0.080,-23.132,3.540,-2.380
0.556,-0.830,0.059,-24.536,3.113,-2.563
0.553,-0.823,0.067,-25.879,1.831,-3.113
0.554,-0.815,0.082,-26.062,0.061,-3.174
0.552,-0.818,0.108,-25.513,-1.709,-2.686
0.566,-0.814,0.139,-25.757,-2.075,-1.282
0.577,-0.808,0.168,-25.940,-0.854,-0.244
0.582,-0.812,0.184,-25.818,1.221,-0.244
0.575,-0.818,0.179,-24.536,2.441,0.244
0.565,-0.821,0.146,-23.071,2.136,1.038
0.556,-0.815,0.107,-23.071,1.404,1.526
0.539,-0.814,0.064,-24.475,1.221,1.587
0.524,-0.812,0.032,-26.794,2.014,1.221
0.531,-0.800,0.017,-29.480,2.441,1.160
0.543,-0.787,0.043,-32.532,1.221,0.610
0.558,-0.785,0.092,-35.645,-1.343,-0.732
0.562,-0.787,0.160,-36.255,-4.761,-2.014
0.577,-0.790,0.220,-34.302,-8.667,-2.075
0.585,-0.796,0.266,-31.494,-13.000,-1.038
0.586,-0.801,0.280,-28.015,-15.930,-0.183
0.583,-0.802,0.279,-25.085,-16.357,0.549
0.571,-0.808,0.263,-23.437,-14.160,0.916
0.548,-0.814,0.220,-23.621,-10.254,0.671
0.529,-0.820,0.172,-24.658,-5.859,0.671
0.527,-0.809,0.141,-27.588,-1.038,1.709
0.519,-0.801,0.128,-31.128,1.221,2.380
0.521,-0.799,0.119,-33.875,1.770,2.319
0.527,-0.783,0.149,-36.621,-0.061,2.686
0.534,-0.774,0.196,-38.513,-3.296,2.075
0.541,-0.771,0.242,-37.537,-6.653,1.465
0.554,-0.771,0.266,-34.851,-10.864,2.258
0.568,-0.770,0.291,-31.921,-15.320,3.784
0.576,-0.764,0.311,-29.907,-18.555,4.944
0.564,-0.772,0.305,-27.954,-19.043,5.005
0.553,-0.776,0.278,-26.184,-16.846,5.371
0.541,-0.775,0.246,-25.330,-12.634,5.798
0.521,-0.785,0.209,-26.428,-7.080,5.920
0.521,-0.773,0.152,-30.029,-1.404,6.287
0.540,-0.753,0.138,-35.522,2.747,6.714
0.570,-0.737,0.159,-41.321,1.282,5.615
0.594,-0.728,0.233,-45.715,-7.080,2.197
0.594,-0.733,0.298,-47.791,-19.531,-1.770
0.589,-0.748,0.355,-45.471,-31.677,-3.357
0.595,-0.732,0.413,-42.053,-39.001,-2.625
0.591,-0.739,0.453,-38.818,-40.039,-2.014
