aX,aY,aZ,gX,gY,gZ
0.933,-0.282,0.023,125.305,-96.619,-102.539
0.923,-0.334,0.037,123.840,-93.994,-98.450
0.907,-0.364,0.043,119.324,-86.243,-95.032
0.883,-0.391,0.037,109.802,-75.378,-92.468
0.854,-0.429,0.042,96.680,-65.796,-91.248
0.816,-0.471,0.053,85.205,-57.922,-89.050
0.803,-0.509,0.081,75.806,-53.467,-85.449
0.769,-0.539,0.140,67.261,-54.382,-79.773
0.756,-0.532,0.126,63.660,-58.411,-71.289
0.802,-0.527,0.194,50.476,-65.247,-62.805
0.814,-0.497,0.261,40.405,-71.472,-59.204
0.832,-0.479,0.319,35.767,-73.669,-59.631
0.830,-0.466,0.355,32.166,-72.327,-61.157
0.830,-0.468,0.384,27.466,-67.383,-60.669
0.815,-0.490,0.409,24.841,-60.303,-59.753
0.804,-0.531,0.417,27.893,-54.016,-59.326
0.783,-0.572,0.427,29.907,-51.697,-56.824
0.749,-0.597,0.456,30.151,-53.589,-56.580
0.713,-0.653,0.487,32.471,-56.274,-57.922
0.668,-0.683,0.517,36.133,-58.350,-56.885
0.639,-0.701,0.523,40.344,-58.899,-51.880
0.628,-0.685,0.526,43.762,-56.946,-45.288
0.647,-0.649,0.529,47.424,-52.002,-38.452
0.675,-0.588,0.505,50.354,-45.044,-33.691
0.688,-0.541,0.479,52.002,-38.330,-32.898
0.681,-0.537,0.454,52.124,-32.654,-34.851
0.672,-0.573,0.428,51.208,-27.771,-37.476
0.652,-0.605,0.396,48.462,-23.132,-36.255
0.650,-0.622,0.385,42.358,-22.156,-33.997
0.646,-0.639,0.368,39.246,-24.475,-31.067
0.653,-0.656,0.358,37.476,-29.480,-29.724
0.658,-0.668,0.356,36.194,-35.950,-29.236
0.658,-0.672,0.363,32.715,-41.260,-28.809
0.676,-0.657,0.376,26.428,-44.128,-26.367
0.689,-0.612,0.409,19.714,-45.105,-24.658
0.703,-0.572,0.432,15.381,-44.739,-26.855
0.702,-0.570,0.456,13.123,-43.823,-31.250
0.696,-0.586,0.466,12.817,-42.175,-34.790
0.695,-0.595,0.470,12.329,-38.696,-35.583
0.698,-0.610,0.482,10.376,-34.485,-35.156
0.697,-0.636,0.484,8.911,-29.785,-34.973
0.678,-0.644,0.469,8.301,-25.818,-35.400
0.664,-0.665,0.471,7.446,-24.414,-36.987
0.639,-0.697,0.484,6.042,-24.841,-38.696
0.623,-0.696,0.506,4.272,-26.123,-38.391
0.620,-0.674,0.539,3.418,-27.344,-37.659
0.621,-0.663,0.559,5.127,-28.870,-38.025
0.612,-0.653,0.559,5.493,-28.992,-37.903
0.605,-0.643,0.566,3.845,-26.306,-37.231
0.614,-0.623,0.578,0.977,-19.653,-36.316
0.612,-0.637,0.588,-1.099,-12.207,-35.767
0.601,-0.684,0.586,-2.075,-6.165,-34.302
0.592,-0.718,0.575,-2.258,-2.502,-30.518
0.582,-0.756,0.561,-2.014,-1.160,-25.696
0.577,-0.765,0.523,-0.977,-1.343,-20.386
0.577,-0.774,0.485,-0.671,-3.174,-16.846
0.575,-0.775,0.461,-2.258,-6.470,-14.587
0.573,-0.761,0.466,-4.944,-11.169,-13.489
0.576,-0.765,0.476,-7.507,-17.029,-13.367
0.589,-0.746,0.491,-9.216,-21.912,-13.367
0.615,-0.729,0.526,-10.742,-24.414,-13.306
0.636,-0.735,0.561,-10.498,-24.292,-13.916
0.654,-0.741,0.566,-7.690,-21.729,-14.954
0.676,-0.752,0.567,-5.188,-17.090,-15.503
0.669,-0.756,0.568,-4.211,-11.169,-15.686
0.789,-1.334,0.534,-89.233,79.956,85.449
0.820,-1.386,0.540,-93.750,81.482,105.530
0.865,-1.421,0.531,-98.755,86.975,128.723
0.898,-1.438,0.525,-102.295,94.299,152.222
0.986,-1.433,0.508,-104.675,102.905,174.072
1.087,-1.407,0.501,-105.591,107.422,188.965
1.213,-1.456,0.512,-99.792,104.553,194.702
1.391,-1.589,0.546,-87.891,100.403,186.707
1.539,-1.706,0.584,-76.172,97.717,165.344
1.590,-1.754,0.504,-66.345,100.647,135.254
1.572,-1.726,0.443,-65.918,114.197,103.760
1.484,-1.752,0.304,-71.655,134.888,74.280
1.383,-1.855,0.111,-75.989,168.884,53.040
1.194,-1.933,-0.131,-90.393,204.712,38.452
0.884,-2.082,-0.418,-110.962,238.953,28.015
0.410,-2.255,-0.758,-136.169,272.400,22.461
-0.123,-2.293,-1.046,-164.795,303.772,29.541
-0.657,-1.947,-1.279,-194.763,319.763,54.504
-1.107,-1.303,-1.448,-218.445,311.157,99.365
-1.347,-0.358,-1.464,-240.723,282.410,159.363
-1.356,0.935,-1.404,-250.183,240.662,225.830
-0.979,2.585,-1.417,-239.685,190.430,272.949
-0.409,3.996,-1.218,-221.191,136.292,271.423
0.008,4.000,-0.723,-206.787,101.074,227.112
0.462,4.000,0.028,-195.374,110.718,192.688
0.917,4.000,0.629,-164.856,131.042,195.923
1.279,3.597,1.049,-110.168,118.042,201.599
1.472,2.807,1.331,-47.607,59.692,185.303
1.591,2.100,1.653,0.183,-29.907,149.231
1.523,1.551,2.006,32.837,-116.577,96.008
1.286,1.261,2.085,57.434,-149.414,30.579
0.985,1.111,1.790,80.383,-105.164,-19.226
0.707,1.052,1.224,103.027,-13.245,-48.645
0.405,0.962,0.592,112.061,79.712,-70.068
0.175,0.828,0.043,103.821,139.587,-91.492
0.057,0.699,-0.324,94.910,154.175,-101.318
0.123,0.690,-0.486,85.449,121.826,-99.976
0.225,0.735,-0.498,83.130,63.599,-96.130
0.345,0.750,-0.444,90.088,1.587,-95.337
0.458,0.710,-0.352,101.685,-55.725,-96.741
0.549,0.666,-0.275,114.624,-105.225,-99.365
0.614,0.623,-0.199,123.596,-142.578,-101.929
0.641,0.544,-0.124,126.770,-161.438,-103.027
